,neuralnet,lr,batch_size,weight_decay,train_epoch_loss,train_epoch_acc,val_epoch_loss,val_epoch_acc,true_negatives,true_positives,false_negatives,false_positives,num_negatives,num_positives
0,VGG vgg13_bn,1e-05,16,0.0005,0.641015411192371,0.6774193548387096,0.7222256302833557,0.5,1.0,0.0,0.0,1.0,20,20
1,VGG vgg13_bn,1e-05,16,0.0005,0.424185275646948,0.832258064516129,0.7701065421104432,0.5,1.0,0.0,0.0,1.0,20,20
2,VGG vgg13_bn,1e-05,16,0.0005,0.2917270026860699,0.8580645161290322,0.6939852237701416,0.5,1.0,0.0,0.0,1.0,20,20
3,VGG vgg13_bn,1e-05,16,0.0005,0.2274289143662299,0.9354838709677419,0.29059170484542846,0.825,1.0,0.65,0.0,0.35,20,20
4,VGG vgg13_bn,1e-05,16,0.0005,0.13143722203470046,0.9806451612903225,0.17977277040481568,0.95,1.0,0.9,0.0,0.1,20,20
5,VGG vgg13_bn,1e-05,16,0.0005,0.07988475707750167,0.9935483870967742,0.06290294304490089,1.0,1.0,1.0,0.0,0.0,20,20
6,VGG vgg13_bn,1e-05,16,0.0005,0.05474454832653845,1.0,0.05515133421868086,0.975,1.0,0.95,0.0,0.05,20,20
7,VGG vgg13_bn,1e-05,16,0.0005,0.05695864707231522,0.9935483870967742,0.04466680288314819,1.0,1.0,1.0,0.0,0.0,20,20
